1,ゴブリン,ゴブリンを討伐せよ,1,1,10,10
2,スライム,スライムを討伐せよ,2,1,10,10
3,スケルトン,スケルトンを討伐せよ,3,1,10,10
4,マンドラゴラ,マンドラゴラを討伐せよ,4,1,10,10
5,ゴーレム,ゴーレムを討伐せよ,5,1,10,10
6,コカトリス,コカトリスを討伐せよ,6,1,10,10
7,トロル,トロルを討伐せよ,7,1,100,100
8,イフリート,イフリートを討伐せよ,8,2,100,100
9,ヘルハウンド,減るハウンドを討伐せよ,9,2,100,100
10,ケルベロス,ケルベロスを討伐せよ,10,2,100,100
11,マンティコア,マンティコアを討伐せよ,11,2,100,100
12,デュラハン,デュラハンを討伐せよ,12,2,100,100
13,ガルム,ガルムを討伐せよ,13,2,100,100
14,エキドナ,エキドナを討伐せよ,14,3,200,200
15,ヒュドラ,ヒュドラを討伐せよ,15,3,200,200
16,ドラゴン,ドラゴンを討伐せよ,16,3,200,200
17,リヴァイアサン,リヴァイアサンを討伐せよ,17,3,200,200
18,バハムート,バハムートを討伐せよ,18,3,200,200
19,クラーケン,クラーケンを討伐せよ,19,3,200,200
20,ウロボロス,ウロボロスを討伐せよ,20,3,200,200